Şirket İsmi,Stres Düzeyi,Kendini Geliştirme,Şirket Kültürü,Yan Haklar,Şirketin Uluslararası Olması,Ekip Bağları,Yurtdışı İmkanları,Maaş,Şirketin Konumu,Yükselme Potansiyeli - Hiyerarşik Yapı
Aselsan,1,0,0,0,0,1,0,1,0,0
Opet,1,1,1,1,0,1,0,1,0,0
British American Tobacco,1,1,1,0,1,1,1,0,1,1
L'Oreal,0,1,1,0,1,1,1,1,0,1
Odeabank,0,1,1,0,0,1,0,0,1,0
Koç Sistem,1,0,0,1,0,0,0,0,0,0
EY,0,1,1,0,1,1,1,0,1,0
JTI,0,1,1,1,1,1,1,1,0,1
Aktiftech Technology ,1,1,1,1,1,1,1,1,0,1
MetLife,1,0,1,0,1,1,1,0,0,0
Turkish Technic,1,1,0,1,1,0,1,1,0,0
BNP Paribas Cardif ,1,0,1,0,1,0,1,0,1,0
PwC,0,1,1,0,1,1,1,0,0,0
Getir,0,1,1,0,1,1,1,0,1,0
Emlak Katılım Bankası,1,0,0,0,0,1,0,1,0,1
TUSAŞ,1,0,0,1,0,0,0,1,0,0
AJet,1,0,1,1,0,1,0,0,0,0
EnerjiSA,0,1,1,1,0,1,0,0,1,0
Bosch Türkiye,1,0,1,1,1,1,1,1,1,0
Papara,1,1,1,1,0,1,0,1,1,0
Turkish Technology,0,0,0,1,1,1,0,1,0,0
Danone,1,1,1,1,1,0,1,0,1,1
Garanti BBVA,1,1,1,1,1,1,1,1,1,0
Garanti Teknoloji,0,1,1,1,1,1,1,1,0,0
Arçelik,0,1,0,0,1,0,0,0,0,0
Schneider Electric,1,0,1,0,1,0,1,0,0,1
QNB,1,0,0,0,1,1,0,0,1,0
Koçtaş,1,0,0,0,1,0,0,0,0,0
Hayat Finans,1,0,0,1,0,0,0,1,1,0
Lc Waikiki,1,1,1,0,1,1,1,0,1,0
Yapı Kredi,0,1,0,1,0,1,0,1,1,0
Anadolu Efes,1,0,1,0,1,1,1,0,0,1
Coca Cola,0,1,0,1,1,1,1,1,1,1
Trendyol,0,1,1,1,1,0,0,1,1,1
